field_1,field_2,field_3,area
IALBERTA1,51.2450640000,-113.9844280000,245714414.300
IALBERTA10,51.1504170000,-114.1045150000,2253139.798
IALBERTA121,51.2099990000,-114.4660030000,12265027.040
IALBERTA151,51.0655290000,-114.1928330000,5974750.847
IALBERTA159,51.1516650000,-114.2280650000,16520797.460
IALBERTA218,50.9601860000,-114.1216130000,4895180.313
IALBERTA232,51.1237870000,-114.2292400000,2250813.464
IALBERTA235,51.1167910000,-114.0741880000,14000146.090
IALBERTA261,51.2105830000,-114.5048370000,136159397.600
IALBERTA295,51.1577000000,-114.1247940000,21943699.170
IALBERTA96,51.1294400000,-113.9571000000,49834161.270
ICALGA109,51.0590000000,-114.2060000000,1710441.398
ICALGA111,51.0080000000,-114.1090000000,8009459.421
ICALGA130,51.1079280000,-114.1602360000,2766075.733
ICALGA138,51.1130000000,-114.1890000000,6799728.140
ICALGA142,51.1060000000,-114.0800000000,4574995.471
ICALGA145,51.0500000000,-114.1000000000,8834993.940
ICALGA152,51.0500000000,-114.1630000000,6544510.163
ICALGA159,51.1268550000,-114.1937460000,2650569.149
ICALGA161,51.1359580000,-114.1983040000,5743264.822
ICALGA164,51.1260000000,-114.1650000000,3219828.570
ICALGA170,51.0180000000,-114.2290000000,48384852.830
ICALGA172,51.0570000000,-114.1540000000,3854246.255
ICALGA174,51.0900000000,-114.1460000000,4123270.097
ICALGA180,51.0275930000,-114.1419470000,3220718.273
ICALGA181,51.0590000000,-114.1990000000,1403298.028
ICALGA185,51.0490000000,-114.1450000000,2116032.651
ICALGA186,51.0090000000,-114.0870000000,20188260.110
ICALGA187,51.0750000000,-114.2150000000,8395803.715
ICALGA188,51.1250000000,-114.1460000000,5837656.570
ICALGA190,51.1598750000,-114.0507240000,48761109.840
ICALGA200,51.0420000000,-114.1440000000,2228786.478
ICALGA26,51.1230010000,-114.2210010000,4842869.896
ICALGA36,51.0470010000,-114.2170030000,5536360.731
ICALGA37,51.1120000000,-114.1510010000,2399217.457
ICALGA4,51.0907250000,-114.0872500000,5388919.394
ICALGA42,51.1360020000,-114.0980000000,3560986.690
ICALGA45,51.0260010000,-114.1330030000,2140338.353
ICALGA52,51.0029980000,-114.1390000000,14301531.080
ICALGA70,51.1533620000,-114.0920630000,7508807.610
ICALGA77,51.0200000000,-114.1300000000,2628148.812
ICALGA81,50.9650000000,-114.1340000000,8899370.527
ICALGA85,51.0900000000,-114.1580000000,5220230.125
ICALGA86,51.0710250000,-114.0825760000,6190359.492
ICALGA98,51.0950000000,-114.1250000000,8531930.665
ICALGA99,51.1257100000,-114.1693200000,4106639.514
ICALGARY110,51.1475560000,-114.2504040000,10482164.500
ICALGARY131,51.1684460000,-114.1101150000,67985423.290
ICALGARY134,51.0419010000,-114.1999970000,9642580.065
ICALGARY136,51.0770000000,-114.0687870000,33171356.030
ICALGARY138,51.1454540000,-114.2091900000,17872022.710
ICALGARY144,51.0745470000,-114.2139130000,2775734.821
ICALGARY152,51.0350380000,-114.2191240000,5043376.186
ICALGARY153,51.1318510000,-114.2523800000,12397297.440
ICALGARY47,51.1328050000,-114.1086430000,5837443.136
ICALGARY54,51.1170880000,-114.2407910000,8348061.179
ICALGARY64,51.0551640000,-114.1201860000,6894186.652
ICALGARY81,51.0221100000,-114.1400380000,2494182.638
ICALGARY95,51.1331600000,-114.2496030000,1577880.189
ICALGARY99,51.1250000000,-114.1603010000,2107050.669
ICOCHR10,51.1548430000,-114.4757120000,89890235.140
ICOCHR12,51.1819110000,-114.5059210000,51814036.370
ICOCHR13,51.1751490000,-114.4569330000,13127752.650
ICOCHR14,51.1870000000,-114.4240000000,64027370.550
ICOCHR16,51.2082980000,-114.4659500000,5964564.427
IKANAN1,50.9485050000,-114.6940080000,832974865.800
IMUNIC225,51.1025590000,-114.7618910000,287540939.900
IROCKY12,51.1289180000,-114.6549990000,206706316.300
IROCKY30,51.0738220000,-114.2763570000,52122470.340
IROCKY31,51.1955140000,-114.2790720000,30395297.830
IROCKY33,51.2689730000,-114.4539970000,152217021.900
IROCKY35,51.0640000000,-114.3690000000,202485272.700
IROCKYVI13,51.2647900000,-114.2495350000,323540418.500
IROCKYVI25,50.9508320000,-114.5955580000,149340182.700
IROCKYVI27,51.2212720000,-113.9725340000,55028369.110
IROCKYVI28,51.1840630000,-114.3023830000,67529426.630
